propID,propName,kabID,kabName,kecID,kecName,TahunProyek,TahunProgress,BulanProgress,Pencairan_Rp,Pencairan_APBN_Rp,Pencairan_APBD_Rp,Pencairan_Masyarakat_Rp,StartDate,EndDate,LastUpdate
34,D I YOGYAKARTA,3402,BANTUL,3402120,PIYUNGAN,2008,2008,11,276250000,0,0,0,2008-11-11 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402120,PIYUNGAN,2008,2008,12,173750000,0,0,0,2008-12-09 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402160,PAJANGAN,2008,2008,12,173750000,0,0,0,2008-12-09 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3403,GUNUNG KIDUL,3403070,PONJONG,2008,2008,11,1531250000,0,0,0,2008-11-25 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3403,GUNUNG KIDUL,3403100,PLAYEN,2008,2008,12,2275000000,0,0,0,2008-12-09 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3404,SLEMAN,3404090,PRAMBANAN,2008,2008,11,175000000,0,0,0,2008-11-13 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3404,SLEMAN,3404170,CANGKRINGAN,2008,2008,12,175000000,0,0,0,2008-12-10 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3502,PONOROGO,3502050,SAWOO,2008,2008,11,250000000,0,0,0,2008-11-28 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3505,BLITAR,3505010,BAKUNG,2008,2008,11,800000000,0,0,0,2008-11-12 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3507,MALANG,3507040,BANTUR,2008,2008,11,240000000,0,0,0,2008-11-28 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3507,MALANG,3507080,TIRTO YUDO,2008,2008,11,540000000,0,0,0,2008-11-28 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3507,MALANG,3507200,WONOSARI,2008,2008,11,240000000,0,0,0,2008-11-28 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3508,LUMAJANG,3508020,PRONOJIWO,2008,2008,11,150000000,0,0,0,2008-11-28 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3508,LUMAJANG,3508040,PASIRIAN,2008,2008,11,275000000,0,0,0,2008-11-06 00:00:00,\N,11/01/2012 02:57:18 PM
35,JAWA TIMUR,3508,LUMAJANG,3508120,RANDUAGUNG,2008,2008,11,600000000,0,0,0,2008-11-17 00:00:00,\N,11/01/2012 02:57:18 PM
