Country Name,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Ambon, Kota","Total Natural Resources Revenue Sharing from Oil (in IDR, realization value)",,130333711,,52220000,63709969,,,,
"Ambon, Kota",Total Other Revenue (in IDR),16975851873,8481145374,,21280987136,64577544003,91277377536,1.63E+11,1.18E+11,66174084705
"Ambon, Kota",Total Own Source Revenue/PAD (in IDR),14578367314,18641129606,,28469446056,29734989883,34207375556,53332621411,58252561996,66174084705
"Ambon, Kota",Total Population (in number of people),232379,246429,256222,265003,274495,331254,348608,363771,379615
"Ambon, Kota",Total Population for Age 0-14 (only 2005 and 2010) (in number of people),69061,,,,,74611,,,
"Ambon, Kota",Total Population for Age 15-64 (only 2005 and 2010) (in number of people),156489,,,,,222152,,,
"Ambon, Kota",Total Population for Age 65 and above (only 2005 and 2010) (in number of people),8269,,,,,11916,,,
"Ambon, Kota",Total Revenue (in IDR),2.44E+11,3.68E+11,3.69E+11,4.99E+11,5.26E+11,5.64E+11,6.97E+11,7.46E+11,8.49E+11
"Ambon, Kota",Total Special Allocation Grant/DAK (in IDR),10911379000,26577000000,37129000000,46186504192,44833000000,28449000000,36719800000,29219550000,49531570000
"Ambon, Kota",Total Specific Allocation Grant for Agriculture (in IDR Billion),,1.8,3.193,3.193,3.222,,,,
"Ambon, Kota",Total Specific Allocation Grant for Demographic (in IDR Billion),,,,1.005,1.057,,,,
"Ambon, Kota",Total Specific Allocation Grant for Education (in IDR Billion),3.5,8.73,11.464,15.12,15.12,,,,
"Ambon, Kota",Total Specific Allocation Grant for Environment (in IDR Billion),,,0.778,0.778,1.185,,,,
"Ambon, Kota",Total Specific Allocation Grant for Fishery (in IDR Billion),0.89,1.32,2.584,2.584,2.936,,,,
"Ambon, Kota",Total Specific Allocation Grant for Forestry (in IDR Billion),,,,,,,,,
"Ambon, Kota",Total Specific Allocation Grant for Government Sector (in IDR Billion),,,,2.343,,,,,
"Ambon, Kota",Total Specific Allocation Grant for Health (in IDR Billion),2.05,6.84,8.299,8.299,8.323,,,,
"Ambon, Kota",Total Specific Allocation Grant for Health Sector (Subsect: Basic Services) (in IDR Billion),,,,,8.323,,,,
"Ambon, Kota",Total Specific Allocation Grant for Health Sector (Subsect: Recommended Services) (in IDR Billion),,,,,,,,,
"Ambon, Kota",Total Specific Allocation Grant for Infrastructure (in IDR Billion),2.72,6.91,10.811,12.651,12.14,,,,
"Ambon, Kota",Total Specific Allocation Grant for Infrastructure Sector (Subsect: Irrigation) (in IDR Billion),,,,,,,,,
"Ambon, Kota",Total Specific Allocation Grant for Infrastructure Sector (Subsect: Road) (in IDR Billion),2.72,4.77,8.425,10.125,9.443,,,,
"Ambon, Kota",Total Specific Allocation Grant for Infrastructure Sector (Subsect: Water) (in IDR Billion),,2.14,2.386,2.526,2.697,,,,
"Ambon, Kota",Total Specific Allocation Grant for Trade (in IDR Billion),,,,,0.85,,,,
"Ambon, Kota",Total Specific Allocation Grant for Village (in IDR Billion),,,,,,,,,
"Ambon, Kota",Total Tax Revenue Sharing/DBH Pajak (in IDR),20702061158,22914835252,12369613578,39946727424,31150221372,43587756465,13758981012,42107852446,
"Ambon, Kota",Tourism and culture function expenditure (in IDR),1051748280,1660942622,,2077555740,,1511214115,1884029245,,
"Ambon, Kota",Villages with road: Asphalt (in % of total villages),100,,,98,,,98,,
"Ambon, Kota",Villages with road: Dirt (in % of total villages),,,,2,,,2,,
"Ambon, Kota",Villages with road: Gravel (in % of total villages),,,,,,,,,
"Ambon, Kota",Villages with road: Other (in % of total villages),,,,,,,,,
"Balikpapan, Kota",Agriculture function expenditure (in IDR),4680044581,9252793334,26447129195,22511522392,19895296199,,,21953125238,
"Balikpapan, Kota","Average National Exam Score: Junior Secondary Level (out of 100, available only in district level for 2009)",,,,,69.89766,,,,
"Balikpapan, Kota","Average National Exam Score: Primary Level (out of 100, available only in district level for 2009)",,,,,73.42637,,,,
"Balikpapan, Kota","Average National Exam Score: Senior Secondary Level (out of 100, available only in district level for 2009)",,,,,71.4481,,,,
"Balikpapan, Kota",Birth attended by Skilled Health worker (in % of total birth),91.1825,94.21091,97.10338,89.84495,95.32453,97.29543,98.4789,99.11465,96.02214813
"Balikpapan, Kota",BPK Audit Report on Sub-National Budget,2,4,3,2,2,,,,
"Balikpapan, Kota",Capital expenditure (in IDR),1.01E+11,2.41E+11,4.49E+11,7.25E+11,8.38E+11,2.64E+11,3.20E+11,4.78E+11,1.08E+12
"Balikpapan, Kota",Consumer Price Index in 42 cities base 1996,,,,,,,,,
"Balikpapan, Kota",Consumer Price Index in 45 cities base 2002,130.9333333,148.1275,155.31,,,,,,
"Balikpapan, Kota",Consumer Price Index in 66 cities base 2007,,,99.99916667,115.5808333,125.9858333,135.9591667,134.4241667,140.9608333,151.5475
"Balikpapan, Kota",Economy function expenditure (in IDR),7655653270,12918469226,43029484008,43569147113,29600092163,,,1.67E+12,
"Balikpapan, Kota",Education function expenditure (in IDR),83171786527,1.17E+11,2.01E+11,2.97E+11,4.14E+11,,,4.32E+11,
"Balikpapan, Kota",Environment function expenditure (in IDR),16192148862,25040706833,46141844356,57623049249,61153653876,,,1.58E+11,
"Balikpapan, Kota","Export: Animals and vegetable oil, fat and waxes (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Beverages and tobacco (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Chemical and related products, nes (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Commodities and transaction not elsewhere classified (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Crude materials, inedible, except fuels (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Food and Live Animals (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Machinery and transport equipment (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Manufactured goods, classified chiefly by material (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Mineral fuels, lubricants and related materials (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota","Export: Miscellaneous manufactures articles (province Level, in USD)",,,,,,,,,
"Balikpapan, Kota",GDP expenditure on changes in stock (in IDR Million),,,,,,,,,
"Balikpapan, Kota",GDP expenditure on exports (in IDR Million),,,,,,,,,
"Balikpapan, Kota",GDP expenditure on general government consumption (in IDR Million),,,,,,,,,
"Balikpapan, Kota",GDP expenditure on gross fixed capital formation (in IDR Million),,,,,,,,,
"Balikpapan, Kota",GDP expenditure on imports (in IDR Million),,,,,,,,,
"Balikpapan, Kota",GDP expenditure on non profit private institution consumption (in IDR Million),,,,,,,,,
"Balikpapan, Kota",GDP expenditure on private consumption (in IDR Million),,,,,,,,,
"Balikpapan, Kota","GDP on Agriculture Sector (in IDR Million), Constant Price",329399.42,343174.53,353309.96,476564.95,469840,476510,481480,486830,
"Balikpapan, Kota","GDP on Agriculture Sector (in IDR Million), Current Price",369783.06,390278.77,433352.38,656090.55,670990,711350,740870,776320,
"Balikpapan, Kota","GDP on Construction Sector (in IDR Million), Constant Price",1268954.52,1484499.98,1741961.5,2039692.66,2398200,2805330,3287410,3820300,
"Balikpapan, Kota","GDP on Construction Sector (in IDR Million), Current Price",1555481.47,2183998.75,3062469.32,4020949.64,4881070,5866070,7279240,9356010,
"Balikpapan, Kota","GDP on Financial Service Sector (in IDR Million), Constant Price",366526.27,380204.37,403351.75,432393.2,461910,489750,518710,547360,
"Balikpapan, Kota","GDP on Financial Service Sector (in IDR Million), Current Price",748672.72,838841.19,1026611.23,1311097.28,1451460,1603950,1773960,1905200,
"Balikpapan, Kota","GDP on Manufacturing Sector (in IDR Million), Constant Price",5614556.89,5455897.53,5091372.28,5884217.88,5309510,5247890,5490360,4873750,
"Balikpapan, Kota","GDP on Manufacturing Sector (in IDR Million), Current Price",13282313.58,16140442.87,15539481.03,23363550.21,19502200,21635250,22845970,21291150,
